Player,Team,Pos,name,GSIS_ID,Birth_date,season
Drew Brees,NO,QB,D.Brees,00-0020531,1979-01-15,2014
Ben Roethlisberger,PIT,QB,B.Roethlisberger,00-0022924,1982-03-02,2014
Andrew Luck,IND,QB,A.Luck,00-0029668,1989-09-12,2014
Peyton Manning,DEN,QB,P.Manning,00-0010346,1976-03-24,2014
Matt Ryan,ATL,QB,M.Ryan,00-0026143,1985-05-17,2014
Eli Manning,NYG,QB,E.Manning,00-0022803,1981-01-03,2014
Aaron Rodgers,GB,QB,A.Rodgers,00-0023459,1983-12-02,2014
Philip Rivers,SD,QB,P.Rivers,00-0022942,1981-12-08,2014
Matthew Stafford,DET,QB,M.Stafford,00-0026498,1988-02-07,2014
Tom Brady,NE,QB,T.Brady,00-0019596,1977-08-03,2014
Ryan Tannehill,MIA,QB,R.Tannehill,00-0029701,1988-07-27,2014
Joe Flacco,BAL,QB,J.Flacco,00-0026158,1985-01-16,2014
Jay Cutler,CHI,QB,J.Cutler,00-0024226,1983-04-29,2014
Tony Romo,DAL,QB,T.Romo,00-0021678,1980-04-21,2014
Russell Wilson,SEA,QB,R.Wilson,00-0029263,1988-11-29,2014
Andy Dalton,CIN,QB,A.Dalton,00-0027973,1987-10-29,2014
Colin Kaepernick,SF,QB,C.Kaepernick,00-0027974,1987-11-03,2014
Brian Hoyer,CLE,QB,B.Hoyer,00-0026625,1985-10-13,2014
Derek Carr,OAK,QB,D.Carr,00-0031280,1991-03-28,2014
Alex Smith,KC,QB,A.Smith,00-0023436,1984-05-07,2014
Cam Newton,CAR,QB,C.Newton,00-0027939,1989-05-11,2014
Kyle Orton,BUF,QB,K.Orton,00-0023541,1982-11-14,2014
Teddy Bridgewater,MIN,QB,T.Bridgewater,00-0031237,1992-11-10,2014
Blake Bortles,JAC,QB,B.Bortles,00-0031407,1992-04-28,2014
Geno Smith,NYJ,QB,G.Smith,00-0030565,1990-10-10,2014
Ryan Fitzpatrick,HOU,QB,R.Fitzpatrick,00-0023682,1982-11-24,2014
Mark Sanchez,PHI,QB,M.Sanchez,00-0026898,1986-11-11,2014
Josh McCown,TB,QB,J.McCown,00-0021206,1979-07-04,2014
Nick Foles,PHI,QB,N.Foles,00-0029567,1989-01-20,2014
Austin Davis,STL,QB,A.Davis,00-0028957,1989-06-02,2014
Drew Stanton,ARI,QB,D.Stanton,00-0025430,1984-05-07,2014
Kirk Cousins,WAS,QB,K.Cousins,00-0029604,1988-08-19,2014
Robert Griffin III,WAS,QB,R.III,00-0029665,1990-02-12,2014
Shaun Hill,STL,QB,S.Hill,00-0020679,1980-01-09,2014
Carson Palmer,ARI,QB,C.Palmer,00-0021429,1979-12-27,2014
Mike Glennon,TB,QB,M.Glennon,00-0030520,1989-12-12,2014
Zach Mettenberger,TEN,QB,Z.Mettenberger,00-0031266,1991-07-16,2014
Charlie Whitehurst,TEN,QB,C.Whitehurst,00-0024296,1982-08-06,2014
Colt McCoy,WAS,QB,C.McCoy,00-0027688,1986-09-05,2014
